Lot identifier,Lot name,Bidder number,Amount,Bid type,Status,Placed at,Bidder id
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"162,500",manual,sold,2025-02-06 02:11:50PM SAST,2704195
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"115,000",manual,sold,2025-02-06 02:11:27PM SAST,1919665
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"112,500",manual,accepted,2025-02-06 02:10:43PM SAST,2704195
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"160,000",manual,accepted,2025-02-06 02:10:26PM SAST,2704134
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"110,000",manual,accepted,2025-02-06 02:09:01PM SAST,1919665
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"107,500",manual,accepted,2025-02-06 02:08:53PM SAST,2704195
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"157,500",manual,accepted,2025-02-06 02:08:32PM SAST,2704195
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"155,000",manual,accepted,2025-02-06 02:07:22PM SAST,2704134
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"152,500",manual,accepted,2025-02-06 02:07:12PM SAST,2704195
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"105,000",manual,accepted,2025-02-06 02:07:08PM SAST,1919665
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"102,500",manual,accepted,2025-02-06 02:06:29PM SAST,2704195
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),42,"96,000",manual,sold,2025-02-06 02:05:48PM SAST,2704218
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"95,000",manual,accepted,2025-02-06 02:05:41PM SAST,2704143
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"78,000",manual,sold,2025-02-06 02:05:33PM SAST,2704297
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"100,000",auto,accepted,2025-02-06 02:05:31PM SAST,1919665
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"100,000",manual,rejected,2025-02-06 02:05:30PM SAST,2704195
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),42,"94,000",manual,accepted,2025-02-06 02:05:22PM SAST,2704218
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"150,000",manual,accepted,2025-02-06 02:05:18PM SAST,2704134
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"93,000",manual,accepted,2025-02-06 02:05:16PM SAST,2704143
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"147,500",manual,accepted,2025-02-06 02:05:11PM SAST,2704195
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),24,"77,000",manual,accepted,2025-02-06 02:05:07PM SAST,2704143
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),42,"92,000",manual,accepted,2025-02-06 02:05:04PM SAST,2704218
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"76,000",manual,accepted,2025-02-06 02:05:00PM SAST,2704216
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"99,000",auto,accepted,2025-02-06 02:04:54PM SAST,1919665
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"98,000",manual,outbid,2025-02-06 02:04:54PM SAST,2704195
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"91,000",manual,accepted,2025-02-06 02:04:53PM SAST,2704143
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),41,"147,500",manual,sold,2025-02-06 02:04:39PM SAST,2704216
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"75,000",manual,accepted,2025-02-06 02:04:06PM SAST,2704297
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),42,"90,000",manual,accepted,2025-02-06 02:04:03PM SAST,2704218
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"97,000",auto,accepted,2025-02-06 02:03:53PM SAST,1919665
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"100,000",maxbid,outbid,2025-02-06 02:03:53PM SAST,1919665
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"89,000",manual,accepted,2025-02-06 02:03:51PM SAST,2704143
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"74,000",manual,accepted,2025-02-06 02:03:42PM SAST,2704216
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),24,"73,000",manual,accepted,2025-02-06 02:03:36PM SAST,2704143
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"145,000",manual,accepted,2025-02-06 02:03:34PM SAST,2704134
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"96,000",manual,accepted,2025-02-06 02:03:26PM SAST,2704195
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),52,"145,000",manual,accepted,2025-02-06 02:03:15PM SAST,2704297
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),18,"142,500",manual,accepted,2025-02-06 02:03:04PM SAST,2704134
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"72,000",manual,accepted,2025-02-06 02:02:59PM SAST,2704297
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),52,"140,000",manual,accepted,2025-02-06 02:02:55PM SAST,2704297
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"71,000",manual,accepted,2025-02-06 02:02:55PM SAST,2704216
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"70,000",manual,accepted,2025-02-06 02:02:48PM SAST,2704297
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),24,"69,000",manual,accepted,2025-02-06 02:02:45PM SAST,2704143
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),42,"88,000",manual,accepted,2025-02-06 02:02:37PM SAST,2704218
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"142,500",manual,accepted,2025-02-06 02:02:34PM SAST,2704195
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"68,000",manual,accepted,2025-02-06 02:02:31PM SAST,2704297
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"95,000",manual,accepted,2025-02-06 02:02:16PM SAST,1919665
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),24,"67,000",manual,accepted,2025-02-06 02:02:15PM SAST,2704143
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"66,000",manual,accepted,2025-02-06 02:02:09PM SAST,2704297
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"94,000",manual,accepted,2025-02-06 02:02:08PM SAST,2704195
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"140,000",manual,accepted,2025-02-06 02:02:05PM SAST,2704134
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),52,"137,500",manual,accepted,2025-02-06 02:01:54PM SAST,2704297
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"135,000",manual,accepted,2025-02-06 02:01:42PM SAST,2704134
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),34,"185,000",manual,sold,2025-02-06 02:01:41PM SAST,2704195
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),41,"137,500",manual,accepted,2025-02-06 02:01:38PM SAST,2704216
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"87,000",manual,accepted,2025-02-06 02:01:37PM SAST,2704143
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),18,"135,000",manual,accepted,2025-02-06 02:01:35PM SAST,2704134
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"65,000",manual,accepted,2025-02-06 02:01:34PM SAST,2704216
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),41,"132,500",manual,accepted,2025-02-06 02:01:28PM SAST,2704216
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),24,"64,000",manual,accepted,2025-02-06 02:01:25PM SAST,2704143
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),52,"130,000",manual,accepted,2025-02-06 02:01:21PM SAST,2704297
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"63,000",manual,accepted,2025-02-06 02:01:16PM SAST,2704216
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"62,000",manual,accepted,2025-02-06 02:01:04PM SAST,2704297
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),42,"86,000",manual,accepted,2025-02-06 02:01:03PM SAST,2704218
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"61,000",manual,accepted,2025-02-06 02:00:56PM SAST,2704216
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"60,000",manual,accepted,2025-02-06 02:00:51PM SAST,2704297
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),41,"127,500",manual,accepted,2025-02-06 02:00:50PM SAST,2704216
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"59,000",manual,accepted,2025-02-06 02:00:49PM SAST,2704216
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"132,500",manual,accepted,2025-02-06 02:00:44PM SAST,2704195
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"130,000",manual,accepted,2025-02-06 02:00:34PM SAST,2704134
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"58,000",manual,accepted,2025-02-06 02:00:32PM SAST,2704297
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"127,500",manual,accepted,2025-02-06 02:00:30PM SAST,2704195
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),52,"125,000",manual,accepted,2025-02-06 02:00:28PM SAST,2704297
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"57,000",manual,accepted,2025-02-06 02:00:28PM SAST,2704216
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),16,"122,500",manual,accepted,2025-02-06 02:00:26PM SAST,2704132
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),52,"125,000",manual,accepted,2025-02-06 02:00:23PM SAST,2704297
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"93,000",manual,accepted,2025-02-06 02:00:23PM SAST,1919665
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"92,000",manual,accepted,2025-02-06 02:00:07PM SAST,2704195
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",34,"370,000",manual,sold,2025-02-06 01:59:56PM SAST,2704195
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),22,"182,500",manual,accepted,2025-02-06 01:59:50PM SAST,2704140
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),24,"56,000",manual,accepted,2025-02-06 01:59:49PM SAST,2704143
